time,value
2026-03-27 22:38:15.783999920,
2026-03-27 22:38:20.783999920,
2026-03-27 22:38:25.783999920,
2026-03-27 22:38:30.783999920,
2026-03-27 22:38:35.783999920,
2026-03-27 22:38:40.783999920,
2026-03-27 22:38:45.783999920,
2026-03-27 22:38:50.783999920,
2026-03-27 22:38:55.783999920,
2026-03-27 22:39:00.783999920,
2026-03-27 22:39:05.783999920,
2026-03-27 22:39:10.783999920,
2026-03-27 22:39:15.783999920,
2026-03-27 22:39:20.783999920,
2026-03-27 22:39:25.783999920,
2026-03-27 22:39:30.783999920,
2026-03-27 22:39:35.783999920,0.13364331130434756
2026-03-27 22:39:40.783999920,0.34722697141541514
2026-03-27 22:39:45.783999920,0.35400614731260416
2026-03-27 22:39:50.783999920,0.3753857589798949
2026-03-27 22:39:55.783999920,0.3827330554100814
2026-03-27 22:40:00.783999920,0.38698942281594406
2026-03-27 22:40:05.783999920,0.395864718762697
2026-03-27 22:40:10.783999920,0.4034035175473218
2026-03-27 22:40:15.783999920,0.40774078390420687
2026-03-27 22:40:20.783999920,0.41184979991930304
2026-03-27 22:40:25.783999920,0.41838273841985985
2026-03-27 22:40:30.783999920,0.4246711550794718
2026-03-27 22:40:35.783999920,0.42769281018856664
2026-03-27 22:40:40.783999920,0.4399036967757423
2026-03-27 22:40:45.783999920,0.44626921820089926
2026-03-27 22:40:50.783999920,0.45186317176330504
2026-03-27 22:40:55.783999920,0.46294040548809695
2026-03-27 22:41:00.783999920,0.469035529192697
2026-03-27 22:41:05.783999920,0.4696662351049525
2026-03-27 22:41:10.783999920,0.4721323306721438
2026-03-27 22:41:15.783999920,0.4767035195253686
2026-03-27 22:41:20.783999920,0.4749117123704141
2026-03-27 22:41:25.783999920,0.48248403629065295
2026-03-27 22:41:30.783999920,0.4902802115796654
2026-03-27 22:41:35.783999920,0.49120604075577834
2026-03-27 22:41:40.783999920,0.4919819438824681
2026-03-27 22:41:45.783999920,0.5006779590210357
2026-03-27 22:41:50.783999920,0.5043449920798412
2026-03-27 22:41:55.783999920,0.5075123353912881
2026-03-27 22:42:00.783999920,0.5167897168302423
2026-03-27 22:42:05.783999920,0.5211546246332067
2026-03-27 22:42:10.783999920,0.5236037135086802
2026-03-27 22:42:15.783999920,0.5312559791799292
2026-03-27 22:42:20.783999920,0.5354568822916022
2026-03-27 22:42:25.783999920,0.5372385933643837
2026-03-27 22:42:30.783999920,0.5439657483471039
2026-03-27 22:42:35.783999920,0.5529109826656559
2026-03-27 22:42:40.783999920,0.5486731850435775
2026-03-27 22:42:45.783999920,0.5418155252163055
2026-03-27 22:42:50.783999920,0.5401349363592107
2026-03-27 22:42:55.783999920,0.49830027654175496
2026-03-27 22:43:00.783999920,
2026-03-27 22:43:05.783999920,
2026-03-27 22:43:10.783999920,
2026-03-27 22:43:15.783999920,
